Time(s),EKG(mV)
130.99000000000001,-0.079886719584465027
130.995,-0.082483097910881042
131,-0.065173909068107605
131.005,0.0035580000840127468
131.00999999999999,0.076809525489807129
131.01499999999999,0.20496964454650879
131.02000000000001,0.28062522411346436
131.02500000000001,0.3422170877456665
131.03,0.33594250679016113
131.035,0.25805115699768066
131.03999999999999,0.1753036230802536
131.04499999999999,0.042167108505964279
131.05000000000001,-0.031925838440656662
131.05500000000001,-0.099599957466125488
131.06,-0.11428873240947723
131.065,-0.10349452495574951
131.06999999999999,-0.085920892655849457
131.07499999999999,-0.060990851372480392
131.08000000000001,-0.050461094826459885
131.08500000000001,-0.04478752613067627
131.09,-0.045508742332458496
131.095,-0.048778258264064789
131.09999999999999,-0.050340890884399414
131.10499999999999,-0.049908161163330078
131.11000000000001,-0.047624312341213226
131.11500000000001,-0.044258635491132736
131.12,-0.039017796516418457
131.125,-0.035724245011806488
131.13,-0.034882824867963791
131.13499999999999,-0.034402012825012207
131.13999999999999,-0.033728878945112228
131.14500000000001,-0.032094120979309082
131.15000000000001,-0.031396947801113129
131.155,-0.032358568161725998
131.16,-0.033921204507350922
131.16499999999999,-0.034185647964477539
131.16999999999999,-0.030218958854675293
131.17500000000001,-0.015506148338317871
131.18000000000001,-0.0011299054604023695
131.185,0.020722946152091026
131.19,0.031012296676635742
131.19499999999999,0.035796366631984711
131.19999999999999,0.032983623445034027
131.20500000000001,0.026805203408002853
131.21000000000001,0.02632439136505127
131.215,0.036205053329467773
131.22,0.049427352845668793
131.22499999999999,0.073708295822143555
131.22999999999999,0.08873363584280014
131.23500000000001,0.10488887876272202
131.24000000000001,0.11121153831481934
131.245,0.11664470285177231
131.25,0.11912088096141815
131.255,0.12114028632640839
131.25999999999999,0.11974593251943588
131.26499999999999,0.11024992167949677
131.27000000000001,0.098205611109733582
131.27500000000001,0.073491930961608887
131.28,0.055028796195983887
131.285,0.028560161590576172
131.28999999999999,0.01322229765355587
131.29499999999999,-0.0058418512344360352
131.30000000000001,-0.016371607780456543
131.30500000000001,-0.030026635155081749
131.31,-0.038248501718044281
131.315,-0.050148569047451019
131.31999999999999,-0.058130025863647461
131.32499999999999,-0.070102214813232422
131.33000000000001,-0.077554784715175629
131.33500000000001,-0.086305543780326843
131.34,-0.08947889506816864
131.345,-0.089551016688346863
131.34999999999999,-0.086930595338344574
131.35499999999999,-0.081112787127494812
131.36000000000001,-0.077458620071411133
131.36500000000001,-0.074092946946620941
131.37,-0.073491930961608887
131.375,-0.073780417442321777
131.38,-0.073684260249137878
131.38499999999999,-0.071520611643791199
131.38999999999999,-0.068755947053432465
131.39500000000001,-0.06428440660238266
131.40000000000001,-0.062721773982048035
131.405,-0.064596936106681824
131.41,-0.068515539169311523
131.41499999999999,-0.075583457946777344
131.41999999999999,-0.078588530421257019
131.42500000000001,-0.077602863311767578
131.43000000000001,-0.073419809341430664
131.435,-0.065270066261291504
131.44,-0.061183176934719086
131.44499999999999,-0.059380136430263519
131.44999999999999,-0.060437917709350586
131.45500000000001,-0.062024593353271484
131.46000000000001,-0.061231255531311035
131.465,-0.056831836700439453
131.47,-0.05293726921081543
131.47499999999999,-0.047792594879865646
131.47999999999999,-0.044571161270141602
131.48500000000001,-0.036733947694301605
131.49000000000001,-0.027334094047546387
131.495,-0.006923675537109375
131.5,0.0077170133590698242
131.505,0.022622149437665939
131.50999999999999,0.023896297439932823
131.51499999999999,0.012380878441035748
131.52000000000001,-0.00052889192011207342
131.52500000000001,-0.019208392128348351
131.53,-0.027983188629150391
131.535,-0.035652123391628265
131.53999999999999,-0.039354365319013596
131.54499999999999,-0.045941472053527832
131.55000000000001,-0.051038067787885666
131.55500000000001,-0.057312648743391037
131.56,-0.059452258050441742
131.565,-0.059692662209272385
131.56999999999999,-0.058658920228481293
131.57499999999999,-0.055942337960004807
131.58000000000001,-0.052985351532697678
131.58500000000001,-0.046879053115844727
131.59,-0.0438259057700634
131.595,-0.047648351639509201
131.59999999999999,-0.059115689247846603
131.60499999999999,-0.086882516741752625
131.61000000000001,-0.10332624614238739
131.61500000000001,-0.099239349365234375
131.62,-0.062433283776044846
131.625,0.055293243378400803
131.63,0.16825973987579346
131.63499999999999,0.3529391884803772
131.63999999999999,0.45696258544921875
131.64500000000001,0.53898894786834717
131.65000000000001,0.53031027317047119
131.655,0.42926788330078125
131.66,0.32346546649932861
131.66499999999999,0.15484511852264404
131.66999999999999,0.060774486511945724
131.67500000000001,-0.029641985893249512
131.68000000000001,-0.056326985359191895
131.685,-0.062745809555053711
131.69,-0.057168405503034592
131.69499999999999,-0.049571596086025238
131.69999999999999,-0.048417650163173676
131.70500000000001,-0.050725542008876801
131.71000000000001,-0.052312217652797699
131.715,-0.051759283989667892
131.72,-0.049186944961547852
131.72499999999999,-0.043345093727111816
131.72999999999999,-0.039234161376953125
131.73500000000001,-0.033849082887172699
131.74000000000001,-0.030988257378339767
131.745,-0.027550458908081055
131.75,-0.025651257485151291
131.755,-0.023199122399091721
131.75999999999999,-0.021924972534179688
131.76499999999999,-0.020674865692853928
131.77000000000001,-0.020025771111249924
131.77500000000001,-0.01829485222697258
131.78,-0.015698473900556564
131.785,-0.0086545944213867188
131.78999999999999,-0.0019713244400918484
131.79499999999999,0.0093036890029907227
